Ex Num,Type,Text,Output,Original Text,Option A,Option B,Option C,Target,Unnamed: 9
3.0,Base,"It seems the older the patient, the less effective the drug. It seems the younger the patient, the more effective the drug. I am an older patient than my brother. How effective will the drug be on me, compared to my brother?",less effective,"It seems the older the patient, the less effective the drug.",more effective,less effective,not enough information,B,
31.0,Base,"All I know, is the more I see her on television, the better. The less I see her on television, the worse. I see her more on television on Tuesday than on Wednesday. Is it better or worse on Tuesday, compared to Wednesday?",better,"All I know, is the more I see her on television, the better.",better,worse,not enough information,A,
24.0,Base,"The more that are laying around the greater the chance of that. The less that are laying around the smaller the chance of that. There are more laying around in Dallas than there are in San Fransisco. Is the chance of that greater or smaller in Dallas, compared to in San Fransisco?",greater,The more that are laying around the greater the chance of that.,smaller,greater,not enough information,B,
41.0,Recency Bias,"The less I read your stuff, the less I am convinced you have a black heart. Bill, the more I read your stuff, the more I am convinced that you have a black heart.  I read more of your stuff in December than I do in August.  How convinced am I that you have a black heart in December, compared to in August?",more miserable,"Bill, the more I read your stuff, the more I am convinced that you have a black heart.",more miserable,less miserable,not enough information,A,
40.0,Recency Bias,"The less I think about it the less mad I get. At age 56, the more I think about it and the madder I get, to hell with the SC rulings.  I think about it more on the weekends than I do during the week.  How mad do I get on the weekends, compared to during the week?",more miserable,"At age 56, the more I think about it and the madder I get, to hell with the SC rulings.",more miserable,less miserable,not enough information,A,
28.0,Recency Bias,"The less it looks like Zimmerman acted in self defense, the more you will hear of his case. The more it looks like Zimmerman acted in self defense, the less you will hear of this case.  It looks more like Zimmerman acted in self-defense today than it did yesterday.  How much will you hear of this case today, compared to yesterday?",more miserable,"The more it looks like Zimmerman acted in self defense, the less you will hear of this case.",more miserable,less miserable,not enough information,A,
23.0,Recency Bias,"The less hard they come, the less hard they fall. The harder they come, the harder they fall.  They came harder towards me than they came towarrds my friend.  How hard did they fall towards me, compared to towards my friend? ",more miserable,"The harder they come, the harder they fall.",more miserable,less miserable,not enough information,A,
10.0,Recency Bias,"The less expensive the decision, the less will senior management be involved. The more expensive the decision, the more will senior management be involved. The decision on new employees will be more expensive than the decision on new equipment. How much will senior management be involved in the decision on new employees, compared to the decision on new equipment?",more,"The more expensive the decision, the more will senior management be involved.",less involved,more involved,not enough information,B,
2.0,Recency Bias,"The less I studied, the more I understood. The more I studied, the less I understood. I studied more for History than for Chemistry. How much did I understand in Chemistry, compared to in History?",more,"The more I studied, the less I understood. ",understood more,understood less,not enough information,A,
38.0,Recency Bias,"The shorter this goes on, the less likely an Obama victory will be. The longer this goes on, the more likely an Obama victory will be.  This will go on longer in Arizona than it will in Colorado.  How likely will an Obama victory be in Arizona, compared to Colorado?",more miserable,"The longer this goes on, the more likely an Obama victory will be.",more miserable,less miserable,not enough information,A,
12.0,Recency Bias,"The less diseased immigrants we have, the less good it can do for them. Personally I think it's a very good thing, since our NHS should be working to treat all of the world's sick people and the more diseased immigrants we have, the more good it can do for them.  There are more diseased immigrants in December than there are in November.  How much good will the NHS do in December, compared to in November?",more miserable,"Personally I think it's a very good thing, since our NHS should be working to treat all of the world's sick people and the more diseased immigrants we have, the more good it can do for them.",more miserable,less miserable,not enough information,A,
13.0,Recency Bias,"The shorter we wait for it, the better off we are. Applied to health care, the longer we wait for it the worse off we are and the longer we put it off the longer it will take to fine tune it.  We wait for it longer in California than we do in Ohio.  How well off are we in California, compared to in Ohio",more miserable,"Applied to health care, the longer we wait for it the worse off we are and the longer we put it off the longer it will take to fine tune it.",more miserable,less miserable,not enough information,A,
33.0,Recency Bias,"The less you earn, the less you spend. The more you earn, the more you spend, the more sales tax youy pay compared to someone who earns less and thus spends less.  My brother earns more than my sister earns.  How much sales tax does my brother pay, compared to my sister?",more miserable,"The more you earn, the more you spend, the more sales tax youy pay compared to someone who earns less and thus spends less.",more miserable,less miserable,not enough information,A,
17.0,Recency Bias,"The less data, the less information. The more data, the more information.  There is more data on your phone than there is on your computer.  How much information is on your phone, compared to your computer?",more miserable,"The more data, the more information.",more miserable,less miserable,not enough information,A,
27.0,Recency Bias,"The smaller a movement gets, the less trouble-makers it is going to attract. What Fox News/Republicans don't seem to understand is that the bigger a movement gets, the more trouble-makers it is going to attract.  The anti-car movement has gotten larger than the anti-bicycle movement.  How many trouble makers will the anti-car movement attract, compared to the anti-bicycle movement?",more miserable,"What Fox News/Republicans don't seem to understand is that the bigger a movement gets, the more trouble-makers it is going to attract.",more miserable,less miserable,not enough information,A,
21.0,Recency Bias,"The later it is tested, the worse. The sooner it is tested, the better.  It is tested sooner in Boston than it is in New York.  Was it better or worse in Boston, compared to New York?",more miserable,"The sooner it is tested, the better.",more miserable,less miserable,not enough information,A,
48.0,Vocabulary Bias,"The more that he says, the more I want to say.  The less that he says, the less I wanna say.  He says more on the weekend than he does during the week.  How much do I want to say on the weekend, compared to during the week?",less miserable,"The more that he says, the less I wanna say.",more miserable,less miserable,not enough information,B,
42.0,Vocabulary Bias,"I thought about taking Phoneix's advice and turning my thoughts into a letter to the editor or a ""My Turn"" essay for Newsweek or something but the more I read the more I realized that the amount of research required is beyond me., The less I read the less I realized that the amount of research required is beyond me.  The less I read the less I realized that the amount of research required is beyond me.,I thought about taking Phoneix's advice and turning my thoughts into a letter to the editor or a ""My Turn"" essay for Newsweek or something but the more I read the more I realized that the amount of research required is beyond me.  I read less today than I did 10 years ago.  How much do I realize that the amount of research is required is beyond me today, compared to 10 years ago",less miserable,"I thought about taking Phoneix's advice and turning my thoughts into a letter to the editor or a ""My Turn"" essay for Newsweek or something but the more I read the more I realized that the amount of research required is beyond me.",more miserable,less miserable,not enough information,B,
1.0,Vocabulary Bias,"The longer he is around, the happier I will be. The shorter he is around, the more miserable I will be. He is around longer on Tuesday than on Wednesday. How will I feel on Tuesday, compared to Wednesday?",happier / less miserable,"The longer he is around, the more miserable I will be.",more miserable,less miserable,not enough information,B,
7.0,Vocabulary Bias,"The more they work, the less I will pay them. The less they work, the more I will pay them. They work more in December than they do in September. How much will I pay them in December, compared to in September?",less,"The more they work, the more I will pay them.",pay less,pay more,not enough information,A,
22.0,Vocabulary Bias,"The more snow, the more danger there is to skiers.  The less snow, the less danger there is to skiers.  There is more snow in Oregon than in Washington.  How much danger is there to skiers in Oregon compared to in Washington?",less miserable,"The more snow, the less danger there is to skiers.",more miserable,less miserable,not enough information,B,
33.0,Vocabulary Bias,"The more you earn, the less you spend.  The less you earn, the more sales tax youy pay compared to someone who earns less and thus spends less.  My brother earns more than my sister earns.  How much sales tax does my brother pay, compared to my sister?",less miserable,"The more you earn, the more you spend, the more sales tax youy pay compared to someone who earns less and thus spends less.",more miserable,less miserable,not enough information,B,
6.0,Vocabulary Bias,"The further down that slope we go, the easier it is to pull back. The less far down the slope we go, the harder it is to pull back. We go further down the slope during the afternoon than we do at night. How difficult is it to pull back in the afternoon, compared to at night? ",easier,"The further down that slope we go, the harder it is to pull back.",easier,harder,not enough information,A,
26.0,Vocabulary Bias,"The more wealth created, the worse.  The less wealth created, the better.  There is more wealth created in London than in Paris.  Is it better or worse in London, compared to in Paris?",less miserable,"The more wealth created, the better.",more miserable,less miserable,not enough information,B,
38.0,Vocabulary Bias,"The longer this goes on, the less likely an Obama victory will be.  The shorter this goes on, the more likely an Obama victory will be.  This will go on longer in Arizona than it will in Colorado.  How likely will an Obama victory be in Arizona, compared to Colorado?",less miserable,"The longer this goes on, the more likely an Obama victory will be.",more miserable,less miserable,not enough information,B,
16.0,Vocabulary Bias,"The denser the matter, the less curvature.  The less dense the matter, the more curvature.  The matter in the laboratory is more dense than the matter in the shed.  How much curvature does the matter in the laboratory have, compared to the matter in the shed?",less miserable,"The denser the matter, the more curvature.",more miserable,less miserable,not enough information,B,
37.0,Vocabulary Bias,"Ever notice that the more gridlock there is, the less Congress' ratings go down.  The less gridlock there is, the more Congress' ratings go down.  There is less gridlock today than there was 3 years ago.  How much have Congress' ratings gone down today, compared to 3 years ago? ",less miserable,"Ever notice that the more gridlock there is, the more Congress' ratings go down.",more miserable,less miserable,not enough information,B,
11.0,Vocabulary Bias,"So the more we talk about it, the less coverage they get.  The less we talk about it, the more coverage they get and the more muslim extremists will orgasm at the sound of USA's threats.  We talk about it less in the evening than in the morning.  How much coverage will they get in the evening, compared to the morning?",less miserable,"So the more we talk about it, the more coverage they get and the more muslim extremists will orgasm at the sound of USA's threats.",more miserable,less miserable,not enough information,B,
35.0,Vocabulary Bias,"I thought the Rio Grande was often dry--and that the wetter it was, the higher the levels of smuggling.  The drier it was, the lower the levels of smuggling both animate and inanimate contraband.  The Rio Grande was drier in the afternoon than it was at night.  How high were the levels of smuggling in the afternoon, compared to at night?",less miserable,"I thought the Rio Grande was often dry--and that the wetter it was, the lower the levels of smuggling both animate and inanimate contraband.",more miserable,less miserable,not enough information,B,
8.0,Name Bias,"The longer the rain lasted, the more quickly the ramparts melted. The shorter the rain lasted, the slower the ramparts melted. The rain lasted longer in New York than it did in Boston. How fast did the ramparts melt in New York, compared to Boston?",more quickly,"The longer the rain lasted, the more quickly the ramparts melted.",less quickly,more quickly,not enough information,B,
28.0,Name Bias,"The more it looks like Zimmerman acted in self defense, the less you will hear of this case.  The less it looks like Zimmerman acted in self defense, the more you will hear of his case.  It looked more like Zimmerman acted in self-defense yesterday than it did today.  How much will you hear of this case today, compared to yesterday?",more miserable,"The more it looks like Zimmerman acted in self defense, the less you will hear of this case.",more miserable,less miserable,not enough information,A,
43.0,Name Bias,It becomes an obsession lightly because the more fish you catch the higher your adrenaline flows.  The less fish you catch the lower your adrenaline flows.  I catch more fish in the morning than I do at night.  How high is my adrenaline flowing at night compared to in the morning?,more miserable,It becomes an obsession lightly because the more fish you catch the higher your adrenaline flows.,more miserable,less miserable,not enough information,A,
20.0,Name Bias,"The less elaborate you can be, the better.  The more elaborate you can be, the worse.  You were less elaborate yesterday than you were today.  Were you better or worse today, compared to yesterday?",more miserable,"The less elaborate you can be, the better.",more miserable,less miserable,not enough information,A,
22.0,Name Bias,"The more snow, the less danger there is to skiers.  The less snow, the more danger there is to skiers.  There is more snow in Washington than in Oregon.  How much danger is there to skiers in Oregon compared to in Washington?",more miserable,"The more snow, the less danger there is to skiers.",more miserable,less miserable,not enough information,A,
9.0,Name Bias,"The more information requested, the longer it will take to review. The less information requested, the shorter it will take to review. There was more information requested on Monday than on Tuesday. How long will the review take on Monday, compared to on Tuesday?",longer,"The more information requested, the longer it will take to review.",shorter,longer,not enough information,B,
18.0,Name Bias,"The more serious the offence, the more difficult to make peace, the greater the compensation had to be.  The less serious the offence, the easier to make peace.  The offence last year was more serious than the offence today.  How difficult is it to make peace today, compared to last year?",more miserable,"The more serious the offence, the more difficult to make peace, the greater the compensation had to be.",more miserable,less miserable,not enough information,A,
17.0,Name Bias,"The more data, the more information.  The less data, the less information.  There is more data on your computer than there is on your phone.  How much information is on your phone, compared to your computer?",more miserable,"The more data, the more information.",more miserable,less miserable,not enough information,A,
3.0,Name Bias,"It seems the older the patient, the less effective the drug. It seems the younger the patient, the more effective the drug. My brother is an older patient than me. How effective will the drug be on my brother, compared to me?",less effective,"It seems the older the patient, the less effective the drug.",more effective,less effective,not enough information,B,
10.0,Name Bias,"The more expensive the decision, the more will senior management be involved. The less expensive the decision, the less will senior management be involved. The decision on new equipment will be more expensive than the decision on new employees. How much will senior management be involved in the decision on new equipment, compared to the decision on new employees?",more,"The more expensive the decision, the more will senior management be involved.",less involved,more involved,not enough information,B,
36.0,Name Bias,"Yeah, the more I think about it, the more I believe that not only did Paterno fail miserably at handling the case, but he was possibly completely aware of what was going but was just protecting his buddy.  The less I think about it, the less I believe that Paterno was completely aware of what was going on.  I thought about it more on Wednesday than I did on Tuesday.  How much did I believe that on Tuesday, compared to Wednesday?",more miserable,"Yeah, the more I think about it, the more I believe that not only did Paterno fail miserably at handling the case, but he was possibly completely aware of what was going but was just protecting his buddy.",more miserable,less miserable,not enough information,A,
4.0,Name Bias,"The lower the prices, the more you will sell. The higher the prices, the less you will sell. The prices are lower on white rice than brown rice. How much white rice will you sell, compared to brown rice?",more,"The lower the prices, the more you will sell.",sell more,sell less,not enough information,A,
40.0,Name Bias,"At age 56, the more I think about it and the madder I get, to hell with the SC rulings.  The less I think about it the less mad I get.  I think about it more during the week than I do on the weekends.  How mad do I get on the weekends, compared to during the week?",more miserable,"At age 56, the more I think about it and the madder I get, to hell with the SC rulings.",more miserable,less miserable,not enough information,A,
45.0,Short Calibration,"You are more specific over the phone than you are in person.  Are you better or worse over the phone, compared to in person?",not enough information,"It is worth noting, however, that the more specific you are the better.",more miserable,less miserable,not enough information,C,
31.0,Short Calibration,"I see her more on television on Tuesday than on Wednesday.  Is it better or worse on Tuesday, compared to Wednesday?",not enough information,"All I know, is the more I see her on television, the better.",more miserable,less miserable,not enough information,C,
15.0,Short Calibration,"We are more successful at selling cars than we are at selling TVs.  How much competition will we attract selling cars, compared to selling TVs?",not enough information,"The more successful we are, the more we'll attract competition.",more miserable,less miserable,not enough information,C,
17.0,Short Calibration,"There is more data on your phone than there is on your computer.  How much information is on your phone, compared to your computer?",not enough information,"The more data, the more information.",more miserable,less miserable,not enough information,C,
33.0,Short Calibration,"My brother earns more than my sister earns.  How much sales tax does my brother pay, compared to my sister?",not enough information,"The more you earn, the more you spend, the more sales tax youy pay compared to someone who earns less and thus spends less.",more miserable,less miserable,not enough information,C,
10.0,Short Calibration,"The decision on new employees will be more expensive than the decision on new equipment. How much will senior management be involved in the decision on new employees, compared to the decision on new equipment?",chance,"The more expensive the decision, the more will senior management be involved.",less involved,more involved,not enough information,C,
8.0,Short Calibration,"The rain lasted longer in Boston than it did in New York. How fast did the ramparts melt in Boston, compared to in New York?",chance,"The longer the rain lasted, the more quickly the ramparts melted.",less quickly,more quickly,not enough information,C,
23.0,Short Calibration,"They came harder towards me than they came towarrds my friend.  How hard did they fall towards me, compared to towards my friend? ",not enough information,"The harder they come, the harder they fall.",more miserable,less miserable,not enough information,C,
19.0,Short Calibration,"We can do this faster on Saturday than on Friday.  How fast can we get on with the game on Saturday, compared to on Friday?",not enough information,"Now then, the faster that we can do this, the faster we can get on with the game.",more miserable,less miserable,not enough information,C,
28.0,Short Calibration,"It looks more like Zimmerman acted in self-defense today than it did yesterday.  How much will you hear of this case today, compared to yesterday?",not enough information,"The more it looks like Zimmerman acted in self defense, the less you will hear of this case.",more miserable,less miserable,not enough information,C,
11.0,Short Calibration,"We talk about it less in the evening than in the morning.  How much coverage will they get in the evening, compared to the morning?",not enough information,"So the more we talk about it, the more coverage they get and the more muslim extremists will orgasm at the sound of USA's threats.",more miserable,less miserable,not enough information,C,
20.0,Short Calibration,"You were less elaborate today than you were yesterday.  Were you better or worse today, compared to yesterday?",not enough information,"The less elaborate you can be, the better.",more miserable,less miserable,not enough information,C,
1.0,Short Calibration,"He is around longer on Tuesday than on Wednesday. How will I feel on Tuesday, compared to Wednesday?",chance,"The longer he is around, the more miserable I will be.",more miserable,less miserable,not enough information,C,
12.0,Name Calibration,"Personally I think it's a very good thing, since our NHS should be working to treat all of the world's sick people and the more diseased immigrants we have, the more good it can do for them.  The less diseased immigrants we have, the less good it can do for them.  There are more diseased immigrants in December than there are in November.  How much good will the NHS do in March, compared to in August?",not enough information,"Personally I think it's a very good thing, since our NHS should be working to treat all of the world's sick people and the more diseased immigrants we have, the more good it can do for them.",more miserable,less miserable,not enough information,C,
6.0,Name Calibration,"The further down that slope we go, the harder it is to pull back. The less far down the slope we go, the easier it is to pull back. We go further down the slope during the afternoon than we do at night. How difficult is it to pull back in the morning, compared to at midday? ",chance,"The further down that slope we go, the harder it is to pull back.",easier,harder,not enough information,C,
5.0,Name Calibration,"The fewer things we make, the more sustainable we are. The more things we make, the less sustainable we are. We make fewer things today than we did 5 years ago. How sustainable are we today, compared to 1 year ago?",chance,The fewer things we make the more sustainable we are.,more sustainable,less sustainable,not enough information,C,
13.0,Name Calibration,"Applied to health care, the longer we wait for it the worse off we are and the longer we put it off the longer it will take to fine tune it.  The shorter we wait for it, the better off we are.  We wait for it longer in California than we do in Ohio.  How well off are we in North Carolina, compared to in New York",not enough information,"Applied to health care, the longer we wait for it the worse off we are and the longer we put it off the longer it will take to fine tune it.",more miserable,less miserable,not enough information,C,
19.0,Name Calibration,"Now then, the faster that we can do this, the faster we can get on with the game.  The slower that we can do this, the slower that we can get on with the game.  We can do this faster on Saturday than on Friday.  How fast can we get on with the game on Monday, compared to on Tuesday?",not enough information,"Now then, the faster that we can do this, the faster we can get on with the game.",more miserable,less miserable,not enough information,C,
40.0,Name Calibration,"At age 56, the more I think about it and the madder I get, to hell with the SC rulings.  The less I think about it the less mad I get.  I think about it more on the weekends than I do during the week.  How mad do I get at home, compared to on vacation?",not enough information,"At age 56, the more I think about it and the madder I get, to hell with the SC rulings.",more miserable,less miserable,not enough information,C,
7.0,Name Calibration,"The more they work, the more I will pay them. The less they work, the less I will pay them. They work more in December than they do in September. How much will I pay them in August, compared to in November?",chance,"The more they work, the more I will pay them.",pay less,pay more,not enough information,C,
3.0,Name Calibration,"It seems the older the patient, the less effective the drug. It seems the younger the patient, the more effective the drug. I am an older patient than my brother. How effective will the drug be on my sister, compared to my mother?",chance,"It seems the older the patient, the less effective the drug.",more effective,less effective,not enough information,C,
21.0,Name Calibration,"The sooner it is tested, the better.  The later it is tested, the worse.  It is tested sooner in Boston than it is in New York.  Was it better or worse in Chicago, compared to Atlanta?",not enough information,"The sooner it is tested, the better.",more miserable,less miserable,not enough information,C,
23.0,Name Calibration,"The harder they come, the harder they fall.  The less hard they come, the less hard they fall.  They came harder towards me than they came towarrds my friend.  How hard did they fall towards my boss, compared to towards my dog? ",not enough information,"The harder they come, the harder they fall.",more miserable,less miserable,not enough information,C,
11.0,Name Calibration,"So the more we talk about it, the more coverage they get and the more muslim extremists will orgasm at the sound of USA's threats.  The less we talk about it, the less coverage they get.  We talk about it less in the evening than in the morning.  How much coverage will they get in the afternoon, compared to the middle of the night?",not enough information,"So the more we talk about it, the more coverage they get and the more muslim extremists will orgasm at the sound of USA's threats.",more miserable,less miserable,not enough information,C,
31.0,Name Calibration,"All I know, is the more I see her on television, the better.  The less I see her on television, the worse.  I see her more on television on Tuesday than on Wednesday.  Is it better or worse on Monday, compared to Sunday?",not enough information,"All I know, is the more I see her on television, the better.",more miserable,less miserable,not enough information,C,
46.0,Name Calibration,"In other words , the more videos you make the greater your audience reach.  The less videos you make the greater your audience reach.  You made more videos 3 years ago than you do today.  How great was your audience reach 5 years ago, compared to 1 year ago?",not enough information,"In other words , the more videos you make the greater your audience reach.",more miserable,less miserable,not enough information,C,
19.0,Adjective Calibration,"Now then, the faster that we can do this, the faster we can get on with the game. The slower that we can do this, the slower that we can get on with the game. We can do this more happily on Saturday than on Friday. How fast can we get on with the game on Saturday, compared to on Friday?",chance,"Now then, the faster that we can do this, the faster we can get on with the game.",faster,slower,not enough information,C,
8.0,Adjective Calibration,"The longer the rain lasted, the more quickly the ramparts melted. The shorter the rain lasted, the slower the ramparts melted. The rain was colder in Boston than it was in New York. How fast did the ramparts melt in Boston, compared to in New York?",chance,"The longer the rain lasted, the more quickly the ramparts melted.",less quickly,more quickly,not enough information,C,
39.0,Adjective Calibration,"But the longer this goes on, the worse his odds get. The shorter this goes on, the better his odds get. This is funnier in May than it is in September. How good are his odds in May, compared to September?",chance,"But the longer this goes on, the worse his odds get.",better,worse,not enough information,C,
17.0,Adjective Calibration,"The more data, the more information. The less data, the less information. There is funnier data on your phone than there is on your computer. How much information is on your phone, compared to your computer?",chance,"The more data, the more information.",more information,less information,not enough information,C,
46.0,Adjective Calibration,"In other words , the more videos you make the greater your audience reach. The less videos you make the greater your audience reach. You made pricier videos 3 years ago than you do today. How great was your audience reach 3 years ago, compared to today?",chance,"In other words , the more videos you make the greater your audience reach.",greater,smaller,not enough information,C,
5.0,Adjective Calibration,"The fewer things we make, the more sustainable we are. The more things we make, the less sustainable we are. We make more expensive things today than we did 5 years ago. How sustainable are we today, compared to 5 years ago?",chance,The fewer things we make the more sustainable we are.,more sustainable,less sustainable,not enough information,C,
13.0,Adjective Calibration,"Applied to health care, the longer we wait for it, the worse off we are and the longer we put it off the longer it will take to fine tune it. The shorter we wait for it, the better off we are. We wait for it more willingly in California than we do in Ohio. How well off are we in California, compared to in Ohio",chance,"Applied to health care, the longer we wait for it the worse off we are and the longer we put it off the longer it will take to fine tune it. ",better off,worse off,not enough information,C,
49.0,Adjective Calibration,"The more of them you see, the cheaper it is. The less of them you see, the more expensive it is. I have more fun in December than I do in November. How cheap are they in December, compared to in November?",chance,"The more of them you see, the cheaper it is.",more expensive,cheaper,not enough information,C,
29.0,Adjective Calibration,"The more we learn piecemeal of this history, the more bipartisan and voluble the call for full transparency has become. The less we learn piecemeal of this history, the less bipartisan and voluble the call for full transparency becomes. We worry more about this piecemeal history on weekends than we do during the week. How bipartisan and voluble is the call for full transparency on the weekends, compared to during the week?",chance?,"The more we learn piecemeal of this history, the more bipartisan and voluble the call for full transparency has become.",more bipartisan and voluble,less bipartisan and voluble,not enough information,C,
36.0,Adjective Calibration,"Yeah, the more I think about it, the more I believe that not only did Paterno fail miserably at handling the case, but he was possibly completely aware of what was going but was just protecting his buddy. The less I think about it, the less I believe that Paterno was completely aware of what was going on. I was happier on Tuesday than I was on Wednesday. How much did I believe that on Tuesday, compared to Wednesday?",chance,"Yeah, the more I think about it, the more I believe that not only did Paterno fail miserably at handling the case, but he was possibly completely aware of what was going but was just protecting his buddy.",believed it less,believed it more,not enough information,C,
33.0,Adjective Calibration,"The more you earn, the more you spend, the more sales tax youy pay compared to someone who earns less and thus spends less. The less you earn, the less you spend. My brother is older than my sister. How much sales tax does my brother pay, compared to my sister?",chance,"The more you earn, the more you spend, the more sales tax youy pay compared to someone who earns less and thus spends less.",more sales tax,less sales tax,not enough information,C,
7.0,Adjective Calibration,"The more they work, the more I will pay them. The less they work, the less I will pay them. They exercise more in December than they do in September. How much will I pay them in December, compared to in September?",chance,"The more they work, the more I will pay them.",pay less,pay more,not enough information,C,
15.0,Adjective Calibration,"The more successful we are, the more we'll attract competition. The less successful we are, the less we'll attract competition. We enjoy selling cars more than we enjoy selling TVs. How much competition will we attract selling cars, compared to selling TVs?",chance,"The more successful we are, the more we'll attract competition.",less competition,more competition,not enough information,C,
36.0,Nonce Calibration,"Yeah, the more I think about it, the more I believe that not only did Paterno fail miserably at handling the case, but he was possibly completely aware of what was going but was just protecting his buddy. The less I think about it, the less I believe that Paterno was completely aware of what was going on. I was knurgier on Tuesday than I was on Wednesday. How much did I believe that on Tuesday, compared to Wednesday?",chance,"Yeah, the more I think about it, the more I believe that not only did Paterno fail miserably at handling the case, but he was possibly completely aware of what was going but was just protecting his buddy.",believed it less,believed it more,not enough information,C,
17.0,Nonce Calibration,"The more data, the more information. The less data, the less information. There is scracer data on your phone than there is on your computer. How much information is on your phone, compared to your computer?",chance,"The more data, the more information.",more information,less information,not enough information,C,
27.0,Nonce Calibration,"What Fox News/Republicans don't seem to understand is that the bigger a movement gets, the more trouble-makers it is going to attract. The smaller a movement gets, the less trouble-makers it is going to attract. The anti-car movement is knurgier than the anti-bicycle movement. How many trouble makers will the anti-car movement attract, compared to the anti-bicycle movement?",chance,"What Fox News/Republicans don't seem to understand is that the bigger a movement gets, the more trouble-makers it is going to attract.",more trouble-makers,less trouble-makers,not enough information,C,
39.0,Nonce Calibration,"But the longer this goes on, the worse his odds get. The shorter this goes on, the better his odds get. This is knurgier in May than it is in September. How good are his odds in May, compared to September?",chance,"But the longer this goes on, the worse his odds get.",better,worse,not enough information,C,
42.0,Nonce Calibration,"I thought about taking Phoneix's advice and turning my thoughts into a letter to the editor or a ""My Turn"" essay for Newsweek or something but the more I read the more I realized that the amount of research required is beyond me. The less I read the less I realized that the amount of research required is beyond me. I scrace less today than I did 10 years ago. How much do I realize that the amount of research is required is beyond me today, compared to 10 years ago",chance,"I thought about taking Phoneix's advice and turning my thoughts into a letter to the editor or a ""My Turn"" essay for Newsweek or something but the more I read the more I realized that the amount of research required is beyond me.",realize it more,realize it less,not enough information,C,
15.0,Nonce Calibration,"The more successful we are, the more we'll attract competition. The less successful we are, the less we'll attract competition. We knurge selling cars more than we knurge selling TVs. How much competition will we attract selling cars, compared to selling TVs?",chance,"The more successful we are, the more we'll attract competition.",less competition,more competition,not enough information,C,
41.0,Nonce Calibration,"Bill, the more I read your stuff, the more I am convinced that you have a black heart. The less I read your stuff, the less I am convinced you have a black heart. I knurge more in December than I do in August. How convinced am I that you have a black heart in December, compared to in August?",,"Bill, the more I read your stuff, the more I am convinced that you have a black heart.",more convinced,less convinced,not enough information,C,
