Ex Num,Type,Text,Output,Original Text,Option A,Option B,Option C,Target
2.0,Vocabulary Bias,"None of these arguments is notably flawed, let alone conclusive. The first argument is flawed. The second argument is even more flawed. Which is more likely to be conclusive, the first argument or the second argument?",second?,,first argument,second argument,not enough info,B
8.0,Vocabulary Bias,"Even so, such vague promises are no grounds for complacency, let alone satisfaction. The promises given yesterday were even less grounds for complacency than the promises given today. Which promises are more likely to be grounds for satisfaction, the promises of today or the promises of yesterday?",promises of today,,promises of today,promises of yesterday,not enough info,A
16.0,Vocabulary Bias,"Which leads one to ask what becomes of the great sinner let alone the sinner. One is more likely to ask what becomes of the great sinner at night than they are in the morning. When is one more likely to ask what becomes of the sinner, at night or in the morning?",at night,,at night,in the morning,not enough info,A
22.0,Vocabulary Bias,"These days, most women 's lives are so varied that no single scent will take us from dawn till dusk, from desk to dinner -- let alone gym to office. A single scent is less likely to take a woman from dawn till dusk in the summer than it is in the winter. When is a scent more likely to take a woman from gym to office, in the summer or in the winter?",winter,,summer,winter,not enough info,B
7.0,Vocabulary Bias,"I would be distressed to hear of a girl of your tender years and experience reading it, let alone any ladies. I would be more distressed to hear of a girl of your tender years and experience reading it in the morning than I would be to hear of a girl of your tender years and experience reading it at night. How distressed would I likely be to hear of any ladies and experience reading it in the morning, compared to hearing of any ladies reading it at night?",more distressed,,more distressed,less distressed,not enough info,A
3.0,Vocabulary Bias,"It's unsurprising that such an attitude failed to produce exciting screenwriters, let alone competent ones. My attitude produces more exciting screenwriters than your attitude. Which attitude is more likely to produce competent screenwriters, my attitude or your attitude?",my attitude,,my attitude,your attitude,not enough info,A
20.0,Vocabulary Bias,"Their minor acts of sabotage -- reminiscent of those of Welsh nationalists -- caused no death, let alone injuriess. Their minor acts of sabotage were less likely to cause death in the winter than in the summer. When were their minor acts of sabotage less likely to cause injuries, in the summer or in the winter?",in the winter,,in the summer,in the winter,not enough info,B
26.0,Vocabulary Bias,"There has been little understanding or recognition of the rights of teachers as adults with needs, expectations and aspirations let alone as employees. The rights of teachers as adults with needs, expectations and aspirations are more likely to be recognized in Dallas than in Houston. Where are the rights of teachers as adults with needs, expectations and asipirations likely to be more recognized, in Dallas or in Houston?",Dallas,,Dallas,Houston,not enough info,A
9.0,Vocabulary Bias,"There must have been text books around at one time but I can not even identify any suppliers let alone titles. I can identify fewer suppliers of the red books than I can of the blue books. How likely am I to identify the titles of the red books, compared to the blue books?",less likely,,more likely,less likely,not enough info,B
25.0,Vocabulary Bias,"Most Liberals were opposed to the Communists let alone to the Labour Party, but there was an important radical wing of the Party which was attracted by the Peoples Front idea. Most Liberals were more opposed to the Communists in the fall than they were in the spring. When were most liberals most likely to be opposed to the Labour Party, in the spring or in the fall?",fall,,spring,fall,not enough info,B
5.0,Vocabulary Bias,"Mr Brown claimed that the Government had failed to face the challenges of the future, let alone the failures of the present. The government of the United States has failed to face the challenges of the future more than the government of Canada has. Who is more likely to face the failures of the present, the government of the United States or the government of Canada?",government of Canada,,government of Canada,government of the United States,not enough info,A
13.0,Vocabulary Bias,"It described extravagant egg packaging as a gimmick which has nothing to do with Easter, let alone protecting the contents. The egg packaging from Ohio has less to do with Easter than the egg packaging from Indiana does. How likely is the  egg packaging from Ohio to have anything to do with protecting the contents, compared to the egg packaging from Indiana?",less likely,,more likely,less likely,not enough info,B
12.0,Vocabulary Bias,"Here your training intensity is such that you are pushed to work for 20, let alone the one minute required for aerobic training. You are pushed harder to work for 20 on Saturday than you are pushed for 20 on Sunday. How hard will you be pushed to work one minute minutes on Saturday, compared to on Sunday?",harder,,harder,less hard,not enough info,A
23.0,Name Bias,"Here relationships between the local inhabitants and party members and agents will be examined without reference to Kursk, let alone to Moscow. Relationships are more likely to be examined without reference to Kursk in the morning than they are in the evening. When are relationships more likely to be examined without reference to Moscow, in the morning or in the evening?",morning,,morning,evening,not enough info,A
18.0,Name Bias,"Emigration to Australia or New Zealand, let alone the United States, which had its own extreme problems of crime and racial violence, was little more than a trickle. Emigration to Australia was more of a trickle in the winter than it was in the summer. When was emigration to the United States likely to be more of a trickle, in the summer or in the winter?",in the winter,,in the summer,in the winter,not enough info,B
15.0,Name Bias,"So cold was the Cold War that America had been boycotting the import even of Soviet crab meat, let alone a live and wily Soviet leader. America was more likely to boycott the import of soviet crab meat in the winter than in the summer. How likely was America to boycott a live and wiley Soviet leader in the summer, compared to in the winter?",less likely,,more likely,less likely,not enough info,B
21.0,Name Bias,"Largely preoccupied by a sense of not being able to win, they have little sense of commitment to themselves, let alone to a person of the opposite sex. They have less commitment to themselves in August than they do in March. When are they more likely to have a commitment to a person of the opposite sex, in March or in August?",March,,March,August,not enough info,A
20.0,Name Bias,"Their minor acts of sabotage -- reminiscent of those of Welsh nationalists -- caused no injuries, let alone deaths. Their minor acts of sabotage were less likely to cause injuries in the summer than in the winter. When were their minor acts of sabotage less likely to cause death, in the summer or in the winter?",in the summer,,in the summer,in the winter,not enough info,A
13.0,Name Bias,"It described extravagant Easter egg packaging as a gimmick which has nothing to do with protecting the contents, let alone Easter. The Easter egg packaging from Indiana has less to do with protecting the contents than the egg packaging from Ohio does. How likely is the Easter egg packaging from Ohio to have anything to do with Easter, compared to the Easter egg packaging from Indiana?",more likely,,more likely,less likely,not enough info,A
11.0,Name Bias,"Most of my friends haven't been outside Australia, let alone been all over the world. My friends from Sydney have been outside Australia less than my friends from Melbourne. How likely are my friends from Melbourne to have been all over the world, compared to my friends from Sydney?",more likely,,more likely,less likely,not enough info,A
22.0,Name Bias,"These days, most women 's lives are so varied that no single scent will take us from gym to office, from desk to dinner -- let alone dawn till dusk. A single scent is less likely to take a woman from gym to office in the winter than it is in the summer. When is a scent more likely to take a woman from dawn till dusk, in the summer or in the winter?",summer,,summer,winter,not enough info,A
12.0,Name Bias,"Here your training intensity is such that you are pushed to work for one minute, let alone the 20 required for aerobic training. You are pushed harder to work for one minute on Sunday than you are pushed for one minute on Saturday. How hard will you be pushed to work 20 minutes on Saturday, compared to on Sunday?",less hard,,harder,less hard,not enough info,B
14.0,Name Bias,"Most wives are too bloody old, let alone mothers. More wives from South Dakota are too old than wives from North Dakota. Where are there likely to be more mothers that are too old, North Dakota or South Dakota?",South Dakota,,North Dakota,South Dakota,not enough info,B
4.0,Name Bias,"Beecher's reputation as a preacher, let alone as a Man of God, was not universally accepted. Beecher's reputation as a preacher was weaker in December than July. When was Beecher more likely to be seen as a Man of God, December or July?",July,,December,July,not enough info,B
1.0,Name Bias,"A ceasefire, let alone lasting peace, will take long negotiation. There was long negotiation in Ireland. There was even longer negotiation in England. Which is more likely, a ceasefire in Ireland or lasting peace in Ireland?",a ceasefire in Ireland,,a ceasefire in Ireland,lasting peace in Ireland,not enough info,A
8.0,Name Bias,"Even so, such vague promises are no grounds for satisfaction, let alone complacency. The promises given today are even less grounds for satisfaction than the promises given yesterday. Which promises are more likely to be grounds for complacency, the promises of today or the promises of yesterday?",promises of yesterday,,promises of today,promises of yesterday,not enough info,B
16.0,Short Calibration,"One is more likely to ask what becomes of the sinner at night than they are in the morning. When is one more likely to ask what becomes of the great sinner, at night or in the morning?",?,,at night,in the morning,not enough info,C
20.0,Short Calibration,"Their minor acts of sabotage were less likely to cause injuries in the winter than in the summer. When were their minor acts of sabotage less likely to cause death, in the summer or in the winter?",?,,in the summer,in the winter,not enough info,C
18.0,Short Calibration,"Emigration to Australia was more of a trickle in the summer than it was in the winter. When was emigration to the United States likely to be more of a trickle, in the summer or in the winter?",?,,in the summer,in the winter,not enough info,C
19.0,Short Calibration,"People are more likely to know other people's names at their gym than they are at their company. Where are people more likely to know their dogs' names, at their gym or at their company?",?,,at their gym,at their company,not enough info,C
15.0,Short Calibration,"America was more likely to boycott the import of soviet crab meat in the summer than in the winter. How likely was America to boycott a live and wiley Soviet leader in the summer, compared to in the winter?",?,,more likely,less likely,not enough info,C
13.0,Short Calibration,"The Easter egg packaging from Ohio has less to do with protecting the contents than the egg packaging from Indiana does. How likely is the Easter egg packaging from Ohio to have anything to do with Easter, compared to the Easter egg packaging from Indiana?",?,,more likely,less likely,not enough info,C
21.0,Short Calibration,"They have less commitment to themselves in March than they do in August. When are they more likely to have a commitment to a person of the opposite sex, in March or in August?",?,,March,August,not enough info,C
22.0,Short Calibration,"A single scent is less likely to take a woman from gym to office in the summer than it is in the winter. When is a scent more likely to take a woman from dawn till dusk, in the summer or in the winter?",?,,summer,winter,not enough info,C
7.0,Short Calibration,"I would be more distressed to hear of any ladies reading it in the morning than I would be to hear of any ladies reading it at night. How distressed would I likely be to hear of a girl of your tender years and experience reading it in the morning, compared to hearing of a girl of your tender years and experience reading it at night?",?,,more distressed,less distressed,not enough info,C
5.0,Short Calibration,"The government of the United States has failed to face the failures of the present more than the government of Canada has. Who is more likely to face the challenges of the future, the government of the United States or the government of Canada?",?,,government of Canada,government of the United States,not enough info,C
6.0,Short Calibration,"An individual was more consistent 5 years ago than they are today. How consistent is a society likely to be today, compared to 5 years ago?",?,,more consistent,less consistent,not enough info,C
3.0,Short Calibration,"My attitude produces more competent screenwriters than your attitude. Which attitude is more likely to produce exciting screenwriters, my attitude or your attitude?",? my attitude,,my attitude,your attitude,not enough info,C
23.0,Short Calibration,"Relationships are more likely to be examined without reference to Kursk in the evening than they are in the morning. When are relationships more likely to be examined without reference to Moscow, in the morning or in the evening?",?,,morning,evening,not enough info,C
15.0,Name Calibration,"So cold was the Cold War that America had been boycotting the import even of Soviet crab meat, let alone a live and wily Soviet leader. America was more likely to boycott the import of soviet crab meat in the summer than in the winter. How likely was America to boycott a live and wiley Soviet leader in the spring, compared to in the fall?",?,,more likely,less likely,not enough info,C
10.0,Name Calibration,"How many modern Prime Ministers could recall such exploits in their past, let alone dare to boast about them? The Prime Minister of Portugal is more likely to recall such exploits than the Prime Minister of Malta. How likely is the Prime Minister of Belize to boast about these exploits, compared to the Prime Minister of England?",?,,more likely,less likely,not enough info,C
20.0,Name Calibration,"Their minor acts of sabotage -- reminiscent of those of Welsh nationalists -- caused no injuries, let alone deaths. Their minor acts of sabotage were less likely to cause injuries in the winter than in the summer. When were their minor acts of sabotage less likely to cause death, in the fall or in the spring?",?,,in the fall,in the spring,not enough info,C
19.0,Name Calibration,"People didn't even know most other people's names let alone their dogs. People are more likely to know other people's names at their gym than they are at their company. Where are people more likely to know their dogs' names, at a grocery store or at a restaurant?",?,,at a grocery store,at a restaurant,not enough info,C
23.0,Name Calibration,"Here relationships between the local inhabitants and party members and agents will be examined without reference to Kursk, let alone to Moscow. Relationships are more likely to be examined without reference to Kursk in the evening than they are in the morning. When are relationships more likely to be examined without reference to Moscow, in the middle of the night or in the afternoon?",?,,middle of the night,afternoon,not enough info,C
22.0,Name Calibration,"These days, most women 's lives are so varied that no single scent will take us from gym to office, from desk to dinner -- let alone dawn till dusk. A single scent is less likely to take a woman from gym to office in the summer than it is in the winter. When is a scent more likely to take a woman from dawn till dusk, in the spring or in the fall?",?,,spring,fall,not enough info,C
12.0,Name Calibration,"Here your training intensity is such that you are pushed to work for one minute, let alone the 20 required for aerobic training. You are pushed harder to work for one minute on Saturday than you are pushed for one minute on Sunday. How hard will you be pushed to work 20 minutes on Wednesday, compared to on Thursday?",?,,harder,less hard,not enough info,C
25.0,Name Calibration,"Most Liberals were opposed to the Labour Party let alone to the Communists, but there was an important radical wing of the Party which was attracted by the Peoples Front idea. Most Liberals were more opposed to the Labour Party in the fall than they were in the spring. When were most liberals most likely to be opposed to the Communists, in the summer or in the winter?",?,,summer,winter,not enough info,C
13.0,Name Calibration,"It described extravagant Easter egg packaging as a gimmick which has nothing to do with protecting the contents, let alone Easter. The Easter egg packaging from Ohio has less to do with protecting the contents than the egg packaging from Indiana does. How likely is the Easter egg packaging from Kentucky to have anything to do with Easter, compared to the Easter egg packaging from Virginia?",?,,more likely,less likely,not enough info,C
2.0,Name Calibration,"None of these arguments is notably strong, let alone conclusive. The first argument is weak. The second argument is even weaker. Which is more likely to be conclusive, the third argument or the fourth argument?",?,,third argument,fourth argument,not enough info,C
24.0,Name Calibration,"It is not easy to know how far Kafka's fictions can be thought to answer descriptively to the historical realities of his time, let alone to those which his fictions are often thought to have predicted. Kafka's earlier work is more likely to be thought to answer descriptively to the historical realities of his time than Kafka's later work does. Which is more likely to be thought to answer descriptively to the historical realities which his fictions are often thought to have predicted, Tolstoy's earlier work or Tolstoy's later work?",?,,Tolstoy's earlier work,Tolstoy's later work,not enough info,C
4.0,Name Calibration,"Beecher's reputation as a preacher, let alone as a Man of God, was not universally accepted. Beecher's reputation as a preacher was weaker in July than in December. When was Beecher more likely to be seen as a Man of God, February or March?",?,,February,March,not enough info,C
8.0,Name Calibration,"Even so, such vague promises are no grounds for satisfaction, let alone complacency. The promises given yesterday were even less grounds for satisfaction than the promises given today. Which promises are more likely to be grounds for complacency, the promises of Tuesday or the promises of Friday?",?,,promises of Tuesday,promises of Friday,not enough info,C
18.0,Adjective Calibration,"Emigration to Australia or New Zealand, let alone the United States, which had its own extreme problems of crime and racial violence, was little more than a trickle. Emigration to Australia was more expensive in the summer than it was in the winter. When was emigration to the United States likely to be more of a trickle, in the summer or in the winter?",?,,in the summer,in the winter,not enough info,C
1.0,Adjective Calibration,"A ceasefire, let alone lasting peace, will be made more difficult by long negotiation. There was long negotiation in England. There was even longer negotiation in Ireland. Which is more likely, a ceasefire in England or lasting peace in England?",a ceasefire?,,a ceasefire in England,lasting peace in England,not enough info,C
8.0,Adjective Calibration,"Even so, such vague promises are no grounds for satisfaction, let alone complacency. The promises given yesterday were even less ambitious than the promises given today. Which promises are more likely to be grounds for complacency, the promises of today or the promises of yesterday?",?,,promises of today,promises of yesterday,not enough info,C
7.0,Adjective Calibration,"I would be distressed to hear of any ladies reading it, let alone a girl of your tender years and experience. I would be more surprised to hear of any ladies reading it in the morning than I would be to hear of any ladies reading it at night. How distressed would I likely be to hear of a girl of your tender years and experience reading it in the morning, compared to hearing of a girl of your tender years and experience reading it at night?",?,,more distressed,less distressed,not enough info,C
13.0,Adjective Calibration,"It described extravagant Easter egg packaging as a gimmick which has nothing to do with protecting the contents, let alone Easter. The Easter egg packaging from Ohio has less beauty than the egg packaging from Indiana does. How likely is the Easter egg packaging from Ohio to have anything to do with Easter, compared to the Easter egg packaging from Indiana?",?,,more likely,less likely,not enough info,C
15.0,Adjective Calibration,"So cold was the Cold War that America had been boycotting the import even of Soviet crab meat, let alone a live and wily Soviet leader. America was more likely to talk about soviet crab meat in the summer than in the winter. How likely was America to boycott a live and wiley Soviet leader in the summer, compared to in the winter?",?,,more likely,less likely,not enough info,C
17.0,Adjective Calibration,"BEER tipped on a member of the audience is not everyone 's idea of art, let alone a joke. Beer tipped on a member of the audience is less likely to be debated about by a young man than an old man. Who is more likely to consider beer tipped on a member of the audience to be a joke, a young man or an old man?",?,,a young man,an old man,not enough info,C
22.0,Adjective Calibration,"These days, most women 's lives are so varied that no single scent will take us from gym to office, from desk to dinner -- let alone dawn till dusk. A single scent from home to office is less expensive in the summer than it is in the winter. When is a scent more likely to take a woman from dawn till dusk, in the summer or in the winter?",?,,summer,winter,not enough info,C
23.0,Adjective Calibration,"Here relationships between the local inhabitants and party members and agents will be examined without reference to Kursk, let alone to Moscow. Relationships are more likely to be examined quickly in the evening than they are in the morning. When are relationships more likely to be examined without reference to Moscow, in the morning or in the evening?",?,,morning,evening,not enough info,C
19.0,Adjective Calibration,"People didn't even know most other people's names let alone their dogs. People are more likely to exercise at their gym than they are at their company. Where are people more likely to know their dogs' names, at their gym or at their company?",?,,at their gym,at their company,not enough info,C
6.0,Adjective Calibration,"It is difficult enough for an individual to be consistent let alone a society. An individual was friendlier 5 years ago than they are today. How consistent is a society likely to be today, compared to 5 years ago?",?,,more consistent,less consistent,not enough info,C
2.0,Adjective Calibration,"None of these arguments is notably strong, let alone conclusive. The first argument is entertaining. The second argument is even more entertaining. Which is more likely to be conclusive, the first argument or the second argument?",?,,first argument,second argument,not enough info,C
16.0,Adjective Calibration,"Which leads one to ask what becomes of the sinner let alone the great sinner. One is more likely to pity the sinner at night than they are in the morning. When is one more likely to ask what becomes of the great sinner, at night or in the morning?",?,,at night,in the morning,not enough info,C
16.0,Nonce Calibration,"Which leads one to ask what becomes of the sinner let alone the great sinner. One is more likely to knurge the sinner at night than they are in the morning. When is one more likely to ask what becomes of the great sinner, at night or in the morning?",?,,at night,in the morning,not enough info,C
5.0,Nonce Calibration,"Mr Brown claimed that the Government had failed to face the failures of the present, let alone the challenges of the future. The government of the United States is more knurgy than the government of Canada has. Who is more likely to face the challenges of the future, the government of the United States or the government of Canada?",?,,government of Canada,government of the United States,not enough info,C
20.0,Nonce Calibration,"Their minor acts of sabotage -- reminiscent of those of Welsh nationalists -- caused no injuries, let alone deaths. Their minor acts of sabotage were more knurgy in the winter than in the summer. When were their minor acts of sabotage less likely to cause death, in the summer or in the winter?",?,,in the summer,in the winter,not enough info,C
17.0,Nonce Calibration,"BEER tipped on a member of the audience is not everyone 's idea of art, let alone a joke. Beer tipped on a member of the audience is less likely to be knurged by a young man than an old man. Who is more likely to consider beer tipped on a member of the audience to be a joke, a young man or an old man?",?,,a young man,an old man,not enough info,C
9.0,Nonce Calibration,"There must have been text books around at one time but I can not even identify any titles let alone suppliers. The blue books are knurgier than the red books. How likely am I to identify the suppliers of the red books, compared to the blue books?",?,,more likely,less likely,not enough info,C
13.0,Nonce Calibration,"It described extravagant Easter egg packaging as a gimmick which has nothing to do with protecting the contents, let alone Easter. The Easter egg packaging from Ohio has more knurge than the egg packaging from Indiana does. How likely is the Easter egg packaging from Ohio to have anything to do with Easter, compared to the Easter egg packaging from Indiana?",?,,more likely,less likely,not enough info,C
26.0,Nonce Calibration,"There has been little understanding or recognition of the rights of teachers as employees let alone as adults with needs, expectations and aspirations. The rights of teachers as employees are more likely to be knurgy in Dallas than in Houston. Where are the rights of teachers as adults with needs, expectations and asipirations likely to be more recognized, in Dallas or in Houston?",?,,Dallas,Houston,not enough info,C
8.0,Nonce Calibration,"Even so, such vague promises are no grounds for satisfaction, let alone complacency. The promises given yesterday were even knurgy than the promises given today. Which promises are more likely to be grounds for complacency, the promises of today or the promises of yesterday?",?,,promises of today,promises of yesterday,not enough info,C
7.0,Nonce Calibration,"I would be distressed to hear of any ladies reading it, let alone a girl of your tender years and experience. I would be more knurged to hear of any ladies reading it in the morning than I would be to hear of any ladies reading it at night. How distressed would I likely be to hear of a girl of your tender years and experience reading it in the morning, compared to hearing of a girl of your tender years and experience reading it at night?",?,,more distressed,less distressed,not enough info,C
1.0,Nonce Calibration,"A ceasefire, let alone lasting peace, will be made more difficult by long negotiation. There was knurgy negotiation in England. There was even knurgier negotiation in Ireland. Which is more likely, a ceasefire in England or lasting peace in England?",?,,a ceasefire in England,lasting peace in England,not enough info,C
4.0,Nonce Calibration,"Beecher's reputation as a preacher, let alone as a Man of God, was not universally accepted. Beecher's reputation as a preacher was knurgier in July than in December. When was Beecher more likely to be seen as a Man of God, December or July?",?,,December,July,not enough info,C
12.0,Nonce Calibration,"Here your training intensity is such that you are pushed to work for one minute, let alone the 20 required for aerobic training. You are knurged more for one minute on Saturday than you are knurged for one minute on Sunday. How hard will you be pushed to work 20 minutes on Saturday, compared to on Sunday?",?,,harder,less hard,not enough info,C
15.0,Nonce Calibration,"So cold was the Cold War that America had been boycotting the import even of Soviet crab meat, let alone a live and wily Soviet leader. America was more likely to knurge soviet crab meat in the summer than in the winter. How likely was America to boycott a live and wiley Soviet leader in the summer, compared to in the winter?",?,,more likely,less likely,not enough info,C
